FacilityName,BCR,AnnualProduction,ConstructionCost,DesignHead,Y,X1,X2,X3
Willwood Canal ,0.7,3134,4452.3,37,-0.356674944,8.050065423,8.401176096,3.610917913
Willwood Diversion Dam ,1.1,6337,5741.7,41,0.09531018,8.754160749,8.655510613,3.713572067
Wind River Diversion Dam ,0.51,1595,2921.2,19,-0.673344553,7.374629015,7.97974977,2.944438979
Woods Project - Greenfield Main Canal Drop ,0.56,2680,4131.6,53,-0.579818495,7.893572074,8.32642002,3.970291914
Wyoming Canal - Station 1016 ,0.41,939,2036,13,-0.891598119,6.844815479,7.618742378,2.564949357
Wyoming Canal - Station 1490 ,0.64,2305,3249.5,40,-0.446287103,7.742835955,8.086256417,3.688879454
Wyoming Canal - Station 1520 ,0.34,749,2002.2,13,-1.078809661,6.618738984,7.602001855,2.564949357
Wyoming Canal - Station 1626 ,0.13,195,1337.4,4,-2.040220829,5.272999559,7.19848271,1.386294361
Wyoming Canal - Station 1972 ,0.28,1218,4237.5,24,-1.272965676,7.104965448,8.351728752,3.17805383
Wyoming Canal - Station 997 ,0.49,1228,2224.9,17,-0.713349888,7.113142109,7.70746725,2.833213344
Yellowtail Afterbay Dam ,3.05,68261,19852.4,49,1.115141591,11.13109387,9.896080186,3.891820298
Bartlett Dam ,3.5,36880,15120,251,1.252762968,10.51542468,9.62377365,5.525452939
Gila Gravity Main Canal Headworks,1.17,1548,1702.6,3,0.157003749,7.344719054,7.439911773,1.098612289
Horseshoe Dam ,2.98,59854,30123,142,1.091923301,10.99966354,10.31304428,4.955827058
Imperial Dam ,1.61,5325,4617.5,12,0.476234179,8.580167991,8.437608712,2.48490665
Laguna Dam ,0.63,566,1100,10,-0.46203546,6.338594078,7.003065459,2.302585093
Anderson-Rose Dam ,0.21,126,377.7,12,-1.560647748,4.836281907,5.93410023,2.48490665
Boca Dam ,1.68,4370,4393,92,0.518793793,8.382518288,8.387767644,4.521788577
Bradbury Dam ,0.3,521,3093.8,190,-1.203972804,6.255750042,8.037155388,5.247024072
Casitas Dam ,1.57,3280,3298.9,96,0.451075619,8.095598701,8.101344359,4.564348191
Gerber Dam ,0.14,760,5358,35,-1.966112856,6.633318433,8.58634605,3.555348061
John Franchi Dam ,0.9,1863,3624.5,15,-0.105360516,7.529943371,8.195471627,2.708050201
Lake Tahoe Dam ,0.65,893,2494.8,6,-0.430782916,6.794586581,7.821963845,1.791759469
Malone Diversion Dam ,0.07,147,1835.6,8,-2.659260037,4.990432587,7.515126683,2.079441542
Marble Bluff Dam ,0.83,5624,6854.2,38,-0.186329578,8.634798433,8.832616882,3.63758616
Prosser Creek Dam ,1.98,3819,3119,127,0.683096845,8.247743887,8.045267717,4.844187086
Putah Creek Dam ,0.25,166,1047.7,11,-1.386294361,5.111987788,6.954352564,2.397895273
Putah Diversion Dam ,1.16,1924,2815.3,11,0.148420005,7.562161631,7.942824107,2.397895273
Rainbow Dam ,0.32,998,5915.9,29,-1.139434283,6.905753276,8.68539892,3.36729583
Upper Slaven Dam ,0.21,720,3474,8,-1.560647748,6.579251212,8.153061947,2.079441542
Agate Dam ,0.24,264,821.5,63,-1.427116356,5.575949103,6.711131937,4.143134726
Agency Valley ,0.33,3941,11353.3,67,-1.108662625,8.279189777,9.33726373,4.204692619
Arthur R. Bowman Dam ,1.9,18282,8994.9,173,0.641853886,9.813672248,9.104413029,5.153291594
Bully Creek ,0.13,1065,8062.9,85,-2.040220829,6.970730078,8.995028572,4.442651256
Bumping Lake ,0.2,2200,11275.7,30,-1.609437912,7.696212639,9.330405247,3.401197382
Cle Elum Dam ,0.94,14911,13692.3,101,-0.061875404,9.609854475,9.52458891,4.615120517
Cold Springs Dam ,0.09,131,1308.8,38,-2.407945609,4.875197323,7.176865966,3.63758616
Crane Prairie ,0.25,1845,7751.3,18,-1.386294361,7.520234556,8.95561585,2.890371758
Deadwood Dam ,0.2,3563,19510.1,110,-1.609437912,8.178358166,9.878687559,4.700480366
Easton Diversion Dam ,1.68,7400,4006.9,46,0.518793793,8.909235279,8.295773154,3.828641396
Emigrant Dam ,0.99,2619,2209.7,185,-0.010050336,7.870547845,7.700612039,5.220355825
Fish Lake ,0.18,235,1176,39,-1.714798428,5.459585514,7.069874128,3.663561646
Golden Gate Canal ,0.56,2293,3991.6,43,-0.579818495,7.737616283,8.291947432,3.761200116
Harper Dam ,0.31,1874,5901.2,80,-1.171182982,7.535830463,8.682910999,4.382026635
